Id,HeartbeatId,Key,Value,Id,DeviceToken,ChargeLevel,WifiEnabled,GPSEnabled,MobileDataEnabled,NotLoadTripsCount,ServerDt
173480932,12884201,LastKnownLatitude,55.71371512,12884201,5EE3A642-0254-415C-94D0-43272864C279,96,True,True,True,0,2018-08-23 13:42:23.4607566 +03:00
173480936,12884201,LastKnownLongitude,37.57229388,12884201,5EE3A642-0254-415C-94D0-43272864C279,96,True,True,True,0,2018-08-23 13:42:23.4607566 +03:00
173481059,12884209,LastKnownLatitude,55.71371512,12884209,5EE3A642-0254-415C-94D0-43272864C279,96,True,True,True,0,2018-08-23 13:42:28.6329121 +03:00
173481061,12884209,LastKnownLongitude,37.57229388,12884209,5EE3A642-0254-415C-94D0-43272864C279,96,True,True,True,0,2018-08-23 13:42:28.6329121 +03:00
173481154,12884215,LastKnownLatitude,55.71274857,12884215,5EE3A642-0254-415C-94D0-43272864C279,96,True,True,True,0,2018-08-23 13:42:32.7424309 +03:00
173481157,12884215,LastKnownLongitude,37.56977558,12884215,5EE3A642-0254-415C-94D0-43272864C279,96,True,True,True,0,2018-08-23 13:42:32.7424309 +03:00
173481768,12884256,LastKnownLatitude,55.71695441,12884256,5EE3A642-0254-415C-94D0-43272864C279,96,True,True,True,0,2018-08-23 13:43:10.5821653 +03:00
173481769,12884256,LastKnownLongitude,37.56979095,12884256,5EE3A642-0254-415C-94D0-43272864C279,96,True,True,True,0,2018-08-23 13:43:10.5821653 +03:00
173482245,12884287,LastKnownLatitude,55.71558029,12884287,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:43:42.3633369 +03:00
173482246,12884287,LastKnownLongitude,37.5742482,12884287,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:43:42.3633369 +03:00
173482725,12884319,LastKnownLatitude,55.71326401,12884319,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:44:05.5677907 +03:00
173482727,12884319,LastKnownLongitude,37.5780255,12884319,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:44:05.5677907 +03:00
173483325,12884357,LastKnownLatitude,55.71016042,12884357,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:44:38.0518750 +03:00
173483327,12884357,LastKnownLongitude,37.58181402,12884357,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:44:38.0518750 +03:00
173484037,12884404,LastKnownLatitude,55.70823116,12884404,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:45:17.5699931 +03:00
173484038,12884404,LastKnownLongitude,37.5778309,12884404,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:45:17.5699931 +03:00
173485664,12884509,LastKnownLatitude,55.70639834,12884509,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:46:44.3447232 +03:00
173485667,12884509,LastKnownLongitude,37.58076438,12884509,5EE3A642-0254-415C-94D0-43272864C279,95,True,True,True,0,2018-08-23 13:46:44.3447232 +03:00
173487627,12884636,LastKnownLatitude,55.70325151,12884636,5EE3A642-0254-415C-94D0-43272864C279,94,True,True,True,0,2018-08-23 13:48:41.7484360 +03:00
173487628,12884636,LastKnownLongitude,37.5795731,12884636,5EE3A642-0254-415C-94D0-43272864C279,94,True,True,True,0,2018-08-23 13:48:41.7484360 +03:00
173489106,12884732,LastKnownLatitude,55.70021846,12884732,5EE3A642-0254-415C-94D0-43272864C279,93,True,True,True,0,2018-08-23 13:50:06.0336095 +03:00
173489107,12884732,LastKnownLongitude,37.57848304,12884732,5EE3A642-0254-415C-94D0-43272864C279,93,True,True,True,0,2018-08-23 13:50:06.0336095 +03:00
173489549,12884760,LastKnownLatitude,55.69726943,12884760,5EE3A642-0254-415C-94D0-43272864C279,92,True,True,True,0,2018-08-23 13:50:36.9423303 +03:00
173489552,12884760,LastKnownLongitude,37.57743879,12884760,5EE3A642-0254-415C-94D0-43272864C279,92,True,True,True,0,2018-08-23 13:50:36.9423303 +03:00
173489988,12884789,LastKnownLatitude,55.6942088,12884789,5EE3A642-0254-415C-94D0-43272864C279,92,True,True,True,0,2018-08-23 13:50:57.8257794 +03:00
173489990,12884789,LastKnownLongitude,37.57634922,12884789,5EE3A642-0254-415C-94D0-43272864C279,92,True,True,True,0,2018-08-23 13:50:57.8257794 +03:00
173490482,12884821,LastKnownLatitude,55.69115953,12884821,5EE3A642-0254-415C-94D0-43272864C279,92,True,True,True,0,2018-08-23 13:51:27.8626303 +03:00
173490483,12884821,LastKnownLongitude,37.5752768,12884821,5EE3A642-0254-415C-94D0-43272864C279,92,True,True,True,0,2018-08-23 13:51:27.8626303 +03:00
