Id,RichTrackId,Number,TotalMeters,Speed,MidSpeed,PointDate,Latitude,Longitude,Height,Course,Yaw,Lateral,AlertType,AlertValue,SpeedType,SpeedLimit,PhoneUsage,Acceleration,Deceleration,EstablishedIndexA,EstablishedIndexB,TickTimestamp,Urban,FromSource,LinkIdMatched,TypicalSpeed,RoadType,Midroute,Interval,Turn,StartNo,LaneCount,SpeedLimitSource,TotalMetersGPS,MidrouteGPS,DeviceToken,CompanyId,FEcoSpeed,FEcoAcc,FEcoDeacc
232158,665,338,4648.298734,45.93527985,45.93527985,2016-09-11 21:29:59.0000000 +06:00,54.93345,73.43374,62000,234,-45501080.1,1.019928013,,0,norm,60,False,,,True,,1473607755,1,True,-931505151,32,0,63.82297707,6,0,1,1,2,4391,65,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232159,665,341,4731.103129,51.33156967,50.43214188,2016-09-11 21:30:05.0000000 +06:00,54.93304,73.43265,63000,237,-45501080.13,2.087141002,,0,norm,60,False,,,True,,1473607761,1,True,-931505151,32,0,82.80439472,6,0,1,1,2,4474,83,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232160,665,341,4731.103129,51.33156967,0,2016-09-11 21:30:05.0000000 +06:00,54.93289,73.43226,0,0,0,0,,0,norm,60,False,,,,,,1,False,931505151,39,0,0,0,0,1,1,2,4503,0,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232161,665,344,4820.403591,55.82902527,55.82902451,2016-09-11 21:30:11.0000000 +06:00,54.9326,73.43146,61000,238,-45501080.29,1.045780896,,0,mid,40,False,,,True,,1473607767,1,True,-761891748,39,0,89.30046177,6,0,1,1,2,4563,89,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232162,665,348,4926.211711,49.53271484,49.53271523,2016-09-11 21:30:18.0000000 +06:00,54.93208,73.43006,63000,237,-45501080.34,0,,0,norm,40,False,,,True,,1473607774,1,True,-761891748,39,0,105.8081207,7,0,1,1,2,4669,106,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232163,665,348,4926.211711,49.53271484,0,2016-09-11 21:30:18.0000000 +06:00,54.93202,73.4299,0,0,0,0,,0,norm,40,False,,,,,,1,False,761891748,48,0,0,0,0,1,1,2,4681,0,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232164,665,348,4926.211711,49.53271484,0,2016-09-11 21:30:18.0000000 +06:00,54.93173,73.4291,0,0,0,0,,0,norm,60,False,,,,,,1,False,761891814,52,0,0,0,0,1,1,2,4741,0,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232165,665,351,5032.020315,60.32686234,60.32686157,2016-09-11 21:30:25.0000000 +06:00,54.9316,73.42875,63000,238,-45501080.37,0.42026325,,0,norm,60,False,,,True,,1473607781,1,True,-761891813,52,0,105.8086033,7,0,1,1,2,4767,98,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232166,665,351,5032.020315,60.32686234,0,2016-09-11 21:30:25.0000000 +06:00,54.93146,73.42836,0,0,0,0,,0,norm,60,False,,,,,,1,False,761891813,52,0,0,0,0,1,1,2,4796,0,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
232167,665,351,5032.020315,60.32686234,0,2016-09-11 21:30:25.0000000 +06:00,54.93122,73.42771,0,0,0,0,,0,norm,60,False,,,,,,1,False,761891810,52,0,0,0,0,1,1,2,4845,0,D7743730-B40A-41DD-8258-3E2EB30A440F,,,,
